SITE,SALAMAN,PCTCOVER,FORESTAGE
1.00,13.00,85.00,316.00
2.00,11.00,86.00,88.00
3.00,11.00,90.00,548.00
4.00,9.00,88.00,64.00
5.00,8.00,89.00,43.00
6.00,7.00,83.00,368.00
7.00,6.00,83.00,200.00
8.00,6.00,91.00,71.00
9.00,5.00,88.00,42.00
10.00,5.00,90.00,551.00
11.00,4.00,87.00,675.00
12.00,3.00,83.00,217.00
13.00,3.00,87.00,212.00
14.00,3.00,89.00,398.00
15.00,3.00,92.00,357.00
16.00,3.00,93.00,478.00
17.00,2.00,2.00,5.00
18.00,2.00,87.00,30.00
19.00,2.00,93.00,551.00
20.00,1.00,7.00,3.00
21.00,1.00,16.00,15.00
22.00,1.00,19.00,31.00
23.00,1.00,29.00,10.00
24.00,1.00,34.00,49.00
25.00,1.00,46.00,30.00
26.00,1.00,80.00,215.00
27.00,1.00,86.00,586.00
28.00,1.00,88.00,105.00
29.00,1.00,92.00,210.00
30.00,0.00,0.00,0.00
31.00,0.00,1.00,4.00
32.00,0.00,3.00,3.00
33.00,0.00,5.00,2.00
34.00,0.00,8.00,10.00
35.00,0.00,9.00,8.00
36.00,0.00,11.00,6.00
37.00,0.00,14.00,49.00
38.00,0.00,17.00,29.00
39.00,0.00,24.00,57.00
40.00,0.00,44.00,59.00
41.00,0.00,52.00,78.00
42.00,0.00,77.00,50.00
43.00,0.00,78.00,320.00
44.00,0.00,80.00,411.00
45.00,0.00,86.00,133.00
46.00,0.00,89.00,60.00
47.00,0.00,91.00,187.00
